userId,movieId,rating
1,1,-0.39
1,3,-0.39
1,6,-0.39
1,47,0.61
1,50,0.61
1,70,-1.39
1,110,-0.39
1,163,0.61
1,216,0.61
1,223,-1.39
1,231,0.61
1,235,-0.39
1,260,0.61
1,296,-1.39
1,316,-1.39
1,333,0.61
1,349,-0.39
1,356,-0.39
1,367,-0.39
1,457,0.61
1,480,-0.39
1,500,-1.39
1,527,0.61
1,552,-0.39
1,553,0.61
1,590,-0.39
1,592,-0.39
1,593,-0.39
1,596,0.61
1,608,0.61
1,648,-1.39
1,661,0.61
1,673,-1.39
1,733,-0.39
1,736,-1.39
1,780,-1.39
1,919,0.61
1,923,0.61
1,1073,0.61
1,1080,0.61
1,1089,0.61
1,1090,-0.39
1,1092,0.61
1,1097,0.61
1,1127,-0.39
1,1136,0.61
1,1196,0.61
1,1197,0.61
1,1198,0.61
1,1206,0.61
1,1208,-0.39
1,1210,0.61
1,1213,0.61
1,1214,-0.39
1,1219,-2.39
1,1220,0.61
1,1222,0.61
1,1240,0.61
1,1258,-1.39
1,1265,-0.39
1,1270,0.61
1,1275,0.61
1,1278,0.61
1,1282,0.61
1,1291,0.61
1,1377,-1.39
1,1500,-0.39
1,1517,0.61
1,1552,-0.39
1,1573,0.61
1,1580,-1.39
1,1617,0.61
1,1625,0.61
1,1676,-1.39
1,1732,0.61
1,1777,-0.39
1,1954,0.61
1,2000,-0.39
1,2005,0.61
1,2012,-0.39
1,2028,-0.39
1,2054,-0.39
1,2078,0.61
1,2105,-0.39
1,2115,0.61
1,2174,-0.39
1,2268,-0.39
1,2291,0.61
1,2329,0.61
1,2353,0.61
1,2395,0.61
1,2406,-0.39
1,2470,0.61
1,2502,0.61
1,2529,0.61
1,2542,0.61
1,2571,0.61
1,2617,-2.39
1,2628,-0.39
1,2640,-0.39
1,2641,0.61
1,2657,-1.39
1,2692,0.61
1,2700,0.61
1,2716,0.61
1,2797,-0.39
1,2858,0.61
1,2916,-0.39
1,2947,0.61
1,2959,0.61
1,2985,-0.39
1,2987,0.61
1,2997,-0.39
1,3033,0.61
1,3052,0.61
1,3147,0.61
1,3176,-3.39
1,3253,0.61
1,3489,-0.39
1,3527,-0.39
1,3578,0.61
1,3671,0.61
1,3793,0.61
1,5060,0.61
2,318,-0.97
2,333,0.03
2,1704,0.53
2,3578,0.03
2,6874,0.03
2,48516,0.03
2,58559,0.53
2,68157,0.53
2,71535,-0.97
2,74458,0.03
2,79132,0.03
2,91529,-0.47
2,99114,-0.47
2,106782,1.03
2,109487,-0.97
2,122882,1.03
3,527,-0.64
3,1275,2.36
3,1302,-0.64
3,2080,-0.64
3,2105,0.86
3,2424,-0.64
3,3949,-0.64
4,21,-0.42
4,32,-1.42
4,47,-1.42
4,235,-1.42
4,260,1.58
4,296,-2.42
4,357,-0.42
4,368,0.58
4,457,1.58
4,509,-2.42
4,539,-2.42
4,553,-1.42
4,588,0.58
4,593,1.58
4,595,-0.42
4,608,1.58
4,648,-0.42
4,708,0.58
4,899,0.58
4,904,0.58
4,908,1.58
4,910,1.58
4,912,1.58
4,919,1.58
4,1073,0.58
4,1079,-1.42
4,1080,1.58
4,1136,1.58
4,1196,1.58
4,1197,1.58
4,1198,-0.42
4,1199,-1.42
4,1203,1.58
4,1213,0.58
4,1219,0.58
4,1225,0.58
4,1259,0.58
4,1265,0.58
4,1282,1.58
4,1288,0.58
4,1291,0.58
4,1304,-0.42
4,1391,-2.42
4,1466,0.58
4,1500,0.58
4,1517,0.58
4,1580,-0.42
4,1617,-1.42
4,1641,0.58
4,1704,-2.42
4,1732,0.58
4,1923,-0.42
4,1968,0.58
4,2019,-1.42
4,2078,1.58
